HOLE:	984B
LEG:	162
TOP:	78.790802
BOTTOM:	500.024414

DEPTH	TENS	CS	ETIM
161.2392	2342.7058	546.5850	2193.5847
161.3916	2367.8091	546.3846	2192.5710
161.5440	2400.4832	546.9714	2191.5603
161.6964	2449.0554	547.3438	2190.5610
161.8488	2298.6892	546.9701	2189.5593
162.0012	2108.7419	546.6878	2188.5466
162.1536	2422.9795	547.1763	2187.5339
162.3060	2593.7998	547.7913	2186.5386
162.4584	2526.1772	547.0854	2185.5210
162.6108	2576.6750	548.0547	2184.5142
162.7632	2446.2722	548.2248	2183.5020
162.9156	2393.2571	548.8635	2182.4910
163.0680	2426.9185	549.5416	2181.4958
163.2204	2441.4170	549.0764	2180.5024
163.3728	2407.7080	548.4496	2179.5039
163.5252	2401.7686	548.0671	2178.5005
163.6776	2321.6797	548.1175	2177.4998
163.8300	2230.9656	547.8862	2176.4951
163.9824	2343.4641	547.8721	2175.4954
164.1348	2360.5811	547.6235	2174.4839
164.2872	2397.7351	548.2083	2173.4690
164.4396	2432.2397	549.1456	2172.4944
164.5920	2407.3416	546.8992	2171.5088
164.7444	2416.9971	545.1451	2170.4866
164.8968	2393.0815	546.3827	2169.4724
165.0492	2367.4495	546.9097	2168.4587
165.2016	2400.3833	547.5861	2167.4768
165.3540	2403.1570	545.6693	2166.4563
165.5064	2441.8630	546.5417	2165.4409
165.6588	2493.2815	547.3027	2164.4260
165.8112	2407.3494	548.0478	2163.4260
165.9636	2386.0151	547.6845	2162.4368
166.1160	2360.3560	546.4223	2161.4265
166.2684	2333.4282	546.7004	2160.4277
166.4208	2366.5842	546.2028	2159.4189
166.5732	2380.1333	546.3578	2158.4199
166.7256	2346.1633	545.6842	2157.4182
166.8780	2322.4656	545.2447	2156.4189
167.0304	2326.8618	544.4849	2155.4045
167.1828	2297.4319	544.8489	2154.3955
167.3352	2384.9001	544.7458	2153.3845
167.4876	2423.6638	544.8404	2152.3604
167.6400	2403.6829	545.9184	2151.3545
167.7924	2412.2192	545.8956	2150.3574
167.9448	2402.5149	544.9589	2149.3372
168.0972	2391.8713	545.7319	2148.3323
168.2496	2405.0605	545.4820	2147.3152
168.4020	2400.9783	546.1122	2146.3147
168.5544	2445.3411	545.6952	2145.3247
168.7068	2489.5022	544.2878	2144.3047
168.8592	2407.9944	544.9654	2143.3005
169.0116	2389.0554	544.5636	2142.2881
169.1640	2373.9568	544.7309	2141.2644
169.3164	2376.0823	545.8557	2140.2598
169.4688	2378.6978	545.5398	2139.2451
169.6212	2391.1826	545.9757	2138.2217
169.7736	2256.9001	547.1444	2137.2153
169.9260	2121.7961	547.1125	2136.2144
170.0784	2376.6458	546.7979	2135.2092
170.2308	2446.5847	546.7178	2134.2087
170.3832	2482.5134	546.2764	2133.2009
170.5356	2565.3809	546.3056	2132.2129
170.6880	2399.8762	544.7681	2131.2080
170.8404	2362.1279	544.4086	2130.1814
170.9928	2341.7351	545.6172	2129.1804
171.1452	2293.1006	545.0428	2128.1682
171.2976	2401.3655	545.2231	2127.1680
171.4500	2435.2659	544.5388	2126.1738
171.6024	2401.0989	543.3228	2125.1511
171.7548	2410.4182	544.0964	2124.1492
171.9072	2349.3728	543.3344	2123.1311
172.0596	2331.9414	543.7440	2122.1262
172.2120	2374.8777	543.2617	2121.1140
172.3644	2398.7026	543.3519	2120.1033
172.5168	2303.8164	543.0650	2119.0918
172.6692	2234.8008	542.8702	2118.0557
172.8216	2356.7620	544.5221	2117.0264
172.9740	2365.3040	545.9651	2116.0393
173.1264	2446.8301	544.4285	2115.0386
