HOLE:	984b
LEG:	162
TOP:	87.934799
BOTTOM:	497.890808

DEPTH	IDPH	IMPH	SFLU
173.4312	0.5546	0.5695	0.5280
173.5836	0.5616	0.5746	0.5294
173.7360	0.5657	0.5813	0.5367
173.8884	0.5705	0.5892	0.5492
174.0408	0.5761	0.5968	0.5551
174.1932	0.5796	0.6029	0.5631
174.3456	0.5822	0.6067	0.5731
174.4980	0.5850	0.6087	0.5766
174.6504	0.5860	0.6095	0.5771
174.8028	0.5860	0.6095	0.5680
174.9552	0.5864	0.6095	0.5556
175.1076	0.5858	0.6099	0.5529
175.2600	0.5836	0.6104	0.5595
175.4124	0.5786	0.6098	0.5709
175.5648	0.5725	0.6072	0.5763
175.7172	0.5671	0.6020	0.5733
175.8696	0.5587	0.5938	0.5537
176.0220	0.5474	0.5827	0.5347
176.1744	0.5383	0.5695	0.5310
176.3268	0.5322	0.5556	0.5096
176.4792	0.5257	0.5431	0.4803
176.6316	0.5181	0.5339	0.4697
176.7840	0.5123	0.5289	0.4783
176.9364	0.5086	0.5274	0.4953
177.0888	0.5063	0.5281	0.5052
177.2412	0.5054	0.5296	0.5082
177.3936	0.5046	0.5301	0.4984
177.5460	0.5033	0.5289	0.4817
177.6984	0.5029	0.5257	0.4744
177.8508	0.5040	0.5218	0.4780
178.0032	0.5067	0.5192	0.4815
178.1556	0.5092	0.5197	0.4808
178.3080	0.5116	0.5245	0.4947
178.4604	0.5140	0.5328	0.5123
178.6128	0.5167	0.5423	0.5133
178.7652	0.5202	0.5497	0.5121
178.9176	0.5221	0.5525	0.5067
179.0700	0.5242	0.5506	0.4976
179.2224	0.5285	0.5465	0.4906
179.3748	0.5325	0.5439	0.4864
179.5272	0.5343	0.5456	0.4960
179.6796	0.5386	0.5523	0.5085
179.8320	0.5431	0.5625	0.5096
179.9844	0.5440	0.5730	0.5183
180.1368	0.5469	0.5803	0.5416
180.2892	0.5521	0.5827	0.5556
180.4416	0.5544	0.5808	0.5525
180.5940	0.5558	0.5773	0.5339
180.7464	0.5591	0.5748	0.5189
180.8988	0.5609	0.5745	0.5202
181.0512	0.5617	0.5765	0.5255
181.2036	0.5624	0.5802	0.5369
181.3560	0.5632	0.5846	0.5408
181.5084	0.5633	0.5886	0.5400
181.6608	0.5634	0.5909	0.5576
181.8132	0.5628	0.5909	0.5620
181.9656	0.5620	0.5885	0.5610
182.1180	0.5608	0.5845	0.5496
182.2704	0.5582	0.5795	0.5390
182.4228	0.5558	0.5747	0.5371
182.5752	0.5547	0.5710	0.5272
182.7276	0.5532	0.5697	0.5202
182.8800	0.5509	0.5708	0.5260
183.0324	0.5488	0.5733	0.5303
183.1848	0.5479	0.5749	0.5364
183.3372	0.5465	0.5736	0.5371
183.4896	0.5443	0.5690	0.5360
183.6420	0.5432	0.5628	0.5287
183.7944	0.5422	0.5578	0.5126
183.9468	0.5412	0.5557	0.5088
184.0992	0.5402	0.5569	0.5097
184.2516	0.5385	0.5600	0.5128
184.4040	0.5374	0.5632	0.5234
184.5564	0.5352	0.5648	0.5343
184.7088	0.5313	0.5632	0.5402
184.8612	0.5281	0.5579	0.5424
185.0136	0.5238	0.5492	0.5196
185.1660	0.5185	0.5387	0.4828
185.3184	0.5143	0.5286	0.4799
185.4708	0.5116	0.5213	0.4800
185.6232	0.5097	0.5182	0.4747
185.7756	0.5092	0.5198	0.4754
185.9280	0.5102	0.5258	0.4896
186.0804	0.5142	0.5348	0.5070
186.2328	0.5150	0.5444	0.5138
186.3852	0.5156	0.5517	0.5138
186.5376	0.5187	0.5543	0.5066
186.6900	0.5202	0.5518	0.5049
186.8424	0.5212	0.5466	0.5022
186.9948	0.5222	0.5417	0.4990
187.1472	0.5229	0.5389	0.5014
187.2996	0.5233	0.5390	0.5011
187.4520	0.5255	0.5415	0.5082
187.6044	0.5283	0.5457	0.5097
187.7568	0.5308	0.5504	0.5068
187.9092	0.5324	0.5547	0.5138
188.0616	0.5352	0.5579	0.5293
188.2140	0.5415	0.5599	0.5318
188.3664	0.5453	0.5617	0.5258
188.5188	0.5463	0.5643	0.5221
188.6712	0.5498	0.5681	0.5178
188.8236	0.5546	0.5730	0.5183
188.9760	0.5562	0.5779	0.5275
189.1284	0.5563	0.5815	0.5498
189.2808	0.5570	0.5831	0.5493
189.4332	0.5564	0.5826	0.5509
189.5856	0.5546	0.5804	0.5432
189.7380	0.5507	0.5766	0.5229
189.8904	0.5447	0.5712	0.5153
190.0428	0.5394	0.5645	0.5135
190.1952	0.5371	0.5571	0.5097
190.3476	0.5321	0.5492	0.5058
190.5000	0.5205	0.5410	0.5084
190.6524	0.5151	0.5328	0.5124
190.8048	0.5156	0.5248	0.4907
190.9572	0.5077	0.5180	0.4705
191.1096	0.5045	0.5134	0.4693
191.2620	0.5037	0.5123	0.4699
191.4144	0.5031	0.5150	0.4850
191.5668	0.5049	0.5210	0.4971
