Leg 162,  Site 984, Core data type SUSCEPTIBILITY,  Log data type SUMT,
Data repicked to log depth
Linear Equation;  y = 0.139x + 78.998
       ELD      SmCore  SmLog
B    122.43    516.34   4060.80
B    122.58    425.22   3504.10
B    122.73    317.07   3262.00
B    122.88    394.83   3004.80
B    123.04    390.91   2849.30
B    123.19    401.02   2692.00
B    123.34    399.31   2643.30
B    123.49    405.05   3021.00
B    123.65    430.77   3121.90
B    123.80    483.31   3593.90
B    123.95    555.61   3980.90
B    124.10    629.92   4097.30
B    124.26    682.73   4552.60
B    124.41    685.75   4425.60
B    124.56    662.00   4200.70
B    124.71    626.41   3969.70
B    124.87    606.93   3869.40
B    125.02    614.66   3832.70
B    125.17    632.33   3774.80
B    125.32    636.45   3721.30
B    125.48    604.06   3708.20
B    125.63    555.83   3317.50
B    125.78    521.66   2872.10
B    125.93    525.59   3223.60
B    126.09    551.87   3725.10
B    126.24    551.67   3877.30
B    126.39    513.01   3660.30
B    126.54    481.76   3412.60
B    126.69    506.86   3574.40
B    126.85    597.75   4248.80
B    127.00    664.86   4324.30
B    127.15    686.20   4176.30
B    127.30    674.88   4071.70
B    127.46    668.79   4059.30
B    127.61    681.36   4090.70
B    127.76    719.14   4349.70
B    127.91    775.33   5040.20
B    128.07    846.54   5426.50
B    128.22    894.66   5728.30
B    128.37    911.22   6161.60
B    128.52    904.93   6122.30
B    128.68    891.59   6055.30
B    128.83    868.38   5794.60
B    128.98    827.85   5548.30
B    129.13    772.62   5391.10
B    129.28    711.38   4884.00
B    129.44    654.72   4517.50
B    129.59    611.21   4030.60
B    129.74    575.43   3491.60
B    129.89    538.30   3176.30
B    130.05    497.60   3081.30
B    130.20    439.97   3046.70
B    130.35    436.49   3119.30
B    130.50    564.08   3172.60
B    130.66    567.15   3291.20
B    130.81    553.79   3574.20
B    130.96    540.42   4092.20
B    131.11    527.06   4135.00
B    131.27    512.81   4078.30
B    131.42    499.44   3972.10
B    131.57    486.08   3559.40
B    131.72    472.72   3302.90
B    131.88    458.46   3096.50
B    132.03    445.10   2844.30
B    132.18    431.73   2714.90
B    132.33    418.37   2567.30
B    132.49    404.12   2188.90
B    132.64    349.10   2087.40
B    132.79    343.47   2298.80
B    132.94    324.45   2629.70
B    133.10    437.19   2605.00
B    133.25    464.84   2606.30
B    133.40    475.89   2608.40
B    133.55    481.10   2837.00
B    133.70    487.74   3403.10
