HOLE:	984b
LEG:	162
TOP:	119.786003
BOTTOM:	488.441589

DEPTH	CALI

285.1400	13.1425
285.2924	13.1433
285.4448	13.1287
285.5972	13.1377
285.7496	13.1417
285.9020	13.1401
286.0544	13.1322
286.2068	13.1478
286.3592	13.1393
286.5116	13.1398
286.6640	13.1356
286.8164	13.1441
286.9688	13.1425
287.1212	13.1401
287.2736	13.1455
287.4260	13.1345
287.5784	13.1370
287.7308	13.1430
287.8832	13.1402
288.0356	13.1337
288.1880	13.1489
288.3404	13.1430
288.4928	13.1480
288.6452	13.1490
288.7976	13.1424
288.9500	13.1489
289.1024	13.1345
289.2548	13.1216
289.4072	13.0807
289.5596	13.0196
289.7120	12.9900
289.8644	12.9335
290.0168	12.9161
290.1692	12.9147
290.3216	12.8953
290.4740	12.8349
290.6264	12.8177
290.7788	12.8393
290.9312	12.8252
291.0836	12.8226
291.2360	12.8316
291.3884	12.8215
291.5408	12.8731
291.6932	12.9769
291.8456	12.9836
291.9980	12.9805
292.1504	12.9746
292.3028	12.9812
292.4552	12.9705
292.6076	12.9842
292.7600	12.9798
292.9124	12.9797
293.0648	12.9705
293.2172	12.9827
293.3696	12.9532
293.5220	12.9599
293.6744	12.9825
293.8268	12.9815
293.9792	12.9824
294.1316	12.9892
294.2840	13.0384
294.4364	13.0192
294.5888	13.0544
294.7412	13.0348
294.8936	13.0768
295.0460	13.1107
295.1984	13.1046
295.3508	13.1148
295.5032	13.1073
295.6556	13.0760
295.8080	13.0888
295.9604	13.2311
296.1128	13.2622
296.2652	13.2598
296.4176	13.2642
296.5700	13.2664
296.7224	13.2664
296.8748	13.2730
297.0272	13.2631
297.1796	13.1351
297.3320	13.1186
297.4844	13.0731
297.6368	12.7087
297.7892	12.6901
297.9416	12.6911
298.0940	12.6973
298.2464	12.6409
298.3988	12.6324
298.5512	12.6228
298.7036	12.5913
298.8560	12.4816
299.0084	12.4532
299.1608	12.4228
299.3132	12.4043
299.4656	12.4157
299.6180	12.4029
299.7704	12.4109
299.9228	12.4080
300.0752	12.4079
300.2276	12.4104
300.3800	12.4087
300.5324	12.4100
300.6848	12.4049
300.8372	12.4045
300.9896	12.4118
301.1420	12.4217
301.2944	12.4065
301.4468	12.4039
301.5992	12.4079
301.7516	12.4100
301.9040	12.4069
302.0564	12.4101
302.2088	12.4087
302.3612	12.4043
302.5136	12.4120
302.6660	12.4064
302.8184	12.4105
302.9708	12.4084
303.1232	12.4101
303.2756	12.4101
303.4280	12.4016
303.5804	12.4142
303.7328	12.4033
303.8852	12.4052
304.0376	12.4105
304.1900	12.4066
304.3424	12.4158
304.4948	12.4017
304.6472	12.4126
304.7996	12.4073
304.9520	12.4058
305.1044	12.4132
305.2568	12.4087
305.4092	12.4031
305.5616	12.4128
305.7140	12.4058
305.8664	12.4048
306.0188	12.4183
306.1712	12.4037
306.3236	12.4066
306.4760	12.4069
306.6284	12.4097
306.7808	12.4099
306.9332	12.4046
307.0856	12.4124
307.2380	12.4079
307.3904	12.4135
307.5428	12.4056
307.6952	12.4107
307.8476	12.4093
308.0000	12.4041
308.1524	12.4101
308.3048	12.4064
308.4572	12.4079
308.6096	12.4091
308.7620	12.4090
308.9144	12.4122
